============================================================
QUERIES SEARCHED LOG  |  2025-07-21 19:10:39
============================================================
Total Queries: 678

No.   Query                                                        Mode  
--------------------------------------------------------------------------------
502   US Virgin Islands store fire                                 live  
503   US Virgin Islands commercial fire                            top   
504   US Virgin Islands commercial fire                            live  
505   US Virgin Islands restaurant fire                            top   
506   US Virgin Islands restaurant fire                            live  
507   US Virgin Islands warehouse fire                             top   
508   US Virgin Islands warehouse fire                             live  
509   US Virgin Islands business fire                              top   
510   US Virgin Islands business fire                              live  
511   US Virgin Islands pipe burst                                 top   
512   US Virgin Islands pipe burst                                 live  
513   Utah house fire                                              top   
514   Utah house fire                                              live  
515   Utah apartment complex                                       top   
516   Utah apartment complex                                       live  
517   Utah store fire                                              top   
518   Utah store fire                                              live  
519   Utah commercial fire                                         top   
520   Utah commercial fire                                         live  
521   Utah restaurant fire                                         top   
522   Utah restaurant fire                                         live  
523   Utah warehouse fire                                          top   
524   Utah warehouse fire                                          live  
525   Utah business fire                                           top   
526   Utah business fire                                           live  
527   Utah pipe burst                                              top   
528   Utah pipe burst                                              live  
529   Vermont house fire                                           top   
530   Vermont house fire                                           live  
531   Vermont apartment complex                                    top   
532   Vermont apartment complex                                    live  
533   Vermont store fire                                           top   
534   Vermont store fire                                           live  
535   Vermont commercial fire                                      top   
536   Vermont commercial fire                                      live  
537   Vermont restaurant fire                                      top   
538   Vermont restaurant fire                                      live  
539   Vermont warehouse fire                                       top   
540   Vermont warehouse fire                                       live  
541   Vermont business fire                                        top   
542   Vermont business fire                                        live  
543   Vermont pipe burst                                           top   
544   Vermont pipe burst                                           live  
545   Virginia house fire                                          top   
546   Virginia house fire                                          live  
547   Virginia apartment complex                                   top   
548   Virginia apartment complex                                   live  
549   Virginia store fire                                          top   
550   Virginia store fire                                          live  
551   Virginia commercial fire                                     top   
552   Virginia commercial fire                                     live  
553   Virginia restaurant fire                                     top   
554   Virginia restaurant fire                                     live  
555   Virginia warehouse fire                                      top   
556   Virginia warehouse fire                                      live  
557   Virginia business fire                                       top   
558   Virginia business fire                                       live  
559   Virginia pipe burst                                          top   
560   Virginia pipe burst                                          live  
561   Washington house fire                                        top   
562   Washington house fire                                        live  
563   Washington apartment complex                                 top   
564   Washington apartment complex                                 live  
565   Washington store fire                                        top   
566   Washington store fire                                        live  
567   Washington commercial fire                                   top   
568   Washington commercial fire                                   live  
569   Washington restaurant fire                                   top   
570   Washington restaurant fire                                   live  
571   Washington warehouse fire                                    top   
572   Washington warehouse fire                                    live  
573   Washington business fire                                     top   
574   Washington business fire                                     live  
575   Washington pipe burst                                        top   
576   Washington pipe burst                                        live  
577   West Virginia house fire                                     top   
578   West Virginia house fire                                     live  
579   West Virginia apartment complex                              top   
580   West Virginia apartment complex                              live  
581   West Virginia store fire                                     top   
582   West Virginia store fire                                     live  
583   West Virginia commercial fire                                top   
584   West Virginia commercial fire                                live  
585   West Virginia restaurant fire                                top   
586   West Virginia restaurant fire                                live  
587   West Virginia warehouse fire                                 top   
588   West Virginia warehouse fire                                 live  
589   West Virginia business fire                                  top   
590   West Virginia business fire                                  live  
591   West Virginia pipe burst                                     top   
592   West Virginia pipe burst                                     live  
593   Wisconsin house fire                                         top   
594   Wisconsin house fire                                         live  
595   Wisconsin apartment complex                                  top   
596   Wisconsin apartment complex                                  live  
597   Wisconsin store fire                                         top   
598   Wisconsin store fire                                         live  
599   Wisconsin commercial fire                                    top   
600   Wisconsin commercial fire                                    live  
601   Wisconsin restaurant fire                                    top   
602   Wisconsin restaurant fire                                    live  
603   Wisconsin warehouse fire                                     top   
604   Wisconsin warehouse fire                                     live  
605   Wisconsin business fire                                      top   
606   Wisconsin business fire                                      live  
607   Wisconsin pipe burst                                         top   
608   Wisconsin pipe burst                                         live  
609   Wyoming house fire                                           top   
610   Wyoming house fire                                           live  
611   Wyoming apartment complex                                    top   
612   Wyoming apartment complex                                    live  
613   Wyoming store fire                                           top   
